,Audio,Class
30,"[5.4343087e-05 5.8182199e-05 6.2362713e-05 ... 6.8722334e-04 8.0953189e-04
 8.8015362e-04]",gun_shot
31,"[ 1.8626451e-09  5.1222742e-09  3.2596290e-09 ... -4.3254867e-03
 -2.0380285e-02 -2.8134730e-02]",jackhammer
32,"[ 0.01814132  0.01743353 -0.00241939 ...  0.12712908  0.12541619
  0.13713387]",children_playing
33,"[ 0.00112333 -0.00190407 -0.00229824 ... -0.00558155 -0.00706556
 -0.01130134]",drilling
34,"[ 0.00147005 -0.00906357 -0.0186373  ... -0.09911519 -0.09640798
 -0.10390453]",air_conditioner
35,"[ 0.2522248   0.36532423  0.13431853 ... -0.04773248 -0.02228624
  0.02551928]",gun_shot
36,[0.04058835 0.05411469 0.02689721 ... 0.03488895 0.03268025 0.06453906],dog_bark
37,"[ 0.03880085  0.05320779  0.03130765 ... -0.00881032 -0.00683725
 -0.01120913]",engine_idling
38,"[ 0.02619284 -0.10856034 -0.01909394 ...  0.02529236  0.05237897
  0.03860623]",siren
39,[0.0215664  0.02641228 0.01733357 ... 0.08303003 0.05889751 0.04065404],dog_bark
40,"[-0.0399373  -0.05729401 -0.04678894 ...  0.03110379  0.02887259
  0.02321653]",street_music
41,"[ 0.02618825  0.03357549  0.02616768 ... -0.01798068 -0.01667754
 -0.01577744]",siren
42,"[ 1.6781646e-03  2.8467488e-03  9.6016086e-04 ... -1.7976854e-05
 -1.2575125e-04 -7.5271935e-05]",children_playing
43,"[-0.02547142 -0.04288259 -0.04192556 ... -0.05611618 -0.06498349
 -0.07541709]",siren
44,"[-0.03403418 -0.01652475 -0.0093526  ... -0.03897279 -0.03110039
 -0.05476357]",siren
45,[0.04028258 0.07872829 0.09589162 ... 0.14102653 0.2115218  0.27059567],drilling
46,[0.00717232 0.01159786 0.01048987 ... 0.00714986 0.00484675 0.005629  ],children_playing
47,"[-0.01655756 -0.02072025 -0.00607079 ...  0.01349466 -0.01150259
 -0.00825735]",gun_shot
48,"[-0.02979865 -0.03192496 -0.02151651 ...  0.05016974  0.09035157
  0.14664921]",engine_idling
49,[0.00353313 0.00752216 0.01306947 ... 0.01200101 0.01069531 0.01128456],air_conditioner
50,"[ 2.3283064e-10  1.0477379e-09 -1.3969839e-09 ... -1.0645046e-03
 -9.4742188e-04 -1.0016394e-03]",car_horn
51,"[-0.00275046 -0.00623593 -0.00707949 ... -0.01101484 -0.01009389
 -0.00758654]",dog_bark
52,"[-0.02530965 -0.05186825 -0.05988359 ... -0.03431503 -0.02985105
 -0.0391394 ]",air_conditioner
53,[0.02688243 0.03625061 0.0251518  ... 0.03579837 0.0286075  0.06326506],engine_idling
54,"[ 0.26066017  0.38720977  0.31511226 ... -0.00741543  0.01720613
  0.04298364]",street_music
55,"[ 0.01278211 -0.01952261 -0.03348716 ... -0.00819209 -0.00963107
  0.        ]",gun_shot
56,"[-0.04894444 -0.10049906 -0.08483754 ... -0.01599959  0.00409016
  0.00760591]",car_horn
57,"[-0.01503525 -0.02141246 -0.01929776 ... -0.00632396 -0.00720896
 -0.01114193]",street_music
58,"[-5.1787880e-05 -1.3341235e-04 -2.5261991e-04 ... -5.5627218e-03
 -5.2650413e-03 -2.9965232e-03]",drilling
59,"[-0.01821931  0.01632155 -0.00570885 ... -0.04395147 -0.01538654
 -0.03827035]",children_playing
60,"[-0.00832731 -0.01107794 -0.00751451 ...  0.02899552  0.02864456
  0.03059514]",dog_bark
61,"[ 0.01732363  0.02710115  0.02245705 ... -0.00986985 -0.01092323
 -0.01382764]",engine_idling
62,"[-0.0111834  -0.00071738  0.00934024 ...  0.01331516  0.02380934
  0.00175596]",car_horn
63,"[-0.03092716 -0.04425411 -0.03908202 ...  0.00995489  0.00742703
  0.00922429]",dog_bark
64,"[-0.01092112  0.02666624  0.04760979 ... -0.21240693 -0.16645414
 -0.14820106]",drilling
65,"[9.2446886e-04 8.0562022e-05 6.2036619e-04 ... 9.0314727e-04 6.5899314e-04
 1.6904008e-04]",car_horn
66,"[ 0.00174222  0.00502423  0.00711824 ... -0.00252446 -0.00572754
 -0.0088637 ]",street_music
67,"[ 0.01961512  0.0243174  -0.00513951 ... -0.04950062 -0.04364824
 -0.04900699]",gun_shot
68,"[ 0.01910247  0.01283292  0.04886124 ...  0.01868081  0.05178962
 -0.01042216]",siren
69,"[ 0.02613494  0.08815739  0.13308401 ... -0.0051854   0.03498776
  0.10455626]",street_music
70,[0.0143213  0.04889074 0.07500245 ... 0.17850874 0.24004406 0.2971317 ],drilling
71,[0.03721327 0.06621884 0.07293149 ... 0.03016414 0.02548839 0.03002276],air_conditioner
72,"[-0.01037521 -0.0169059  -0.01719321 ... -0.02049123 -0.0254171
 -0.03382548]",drilling
73,"[-0.00603935 -0.00717495  0.00483331 ...  0.03447031  0.03903456
  0.03921397]",dog_bark
74,"[-1.1641532e-09  1.3969839e-09  1.3969839e-09 ...  9.2754401e-03
  7.1173497e-03 -4.1380264e-03]",street_music
75,"[-0.0061764  -0.00333927 -0.00010292 ... -0.01758927 -0.0140257
 -0.00678429]",gun_shot
76,"[ 0.01081938  0.00863652  0.00499642 ... -0.00015859 -0.00019783
 -0.0004614 ]",street_music
77,"[-0.00385056 -0.00434775 -0.00628187 ... -0.07281244 -0.06196625
 -0.05953363]",car_horn
78,"[-0.0007458  -0.02429497  0.08376272 ... -0.00633573 -0.0702149
  0.07485862]",siren
79,"[-0.02223798 -0.035483   -0.03438658 ...  0.05700745  0.05729716
  0.04597831]",jackhammer
80,"[-0.03492163 -0.0604341  -0.04912902 ... -0.00342467 -0.0117723
 -0.01621391]",dog_bark
81,"[-3.7252903e-08 -8.9406967e-08 -5.9604645e-08 ... -3.1839078e-03
 -2.8361641e-03 -1.8875643e-03]",children_playing
82,[0.01098674 0.01295491 0.01146929 ... 0.01181455 0.01983003 0.01490922],gun_shot
83,"[ 0.0039376  -0.00040678 -0.01573186 ...  0.022226   -0.00497553
 -0.00411491]",children_playing
84,"[ 0.07733922  0.11394502  0.09207213 ... -0.00972934 -0.01363307
  0.06994167]",drilling
85,"[-2.1187589e-05 -4.4670422e-05 -4.5091379e-05 ...  2.5572283e-03
  5.4751365e-03  9.9341907e-03]",street_music
86,"[ 0.0021272  -0.02571831 -0.02960074 ...  0.01229505 -0.00593369
  0.00684263]",car_horn
87,[0.01657516 0.02621188 0.02391077 ... 0.02686854 0.02672961 0.02954256],engine_idling
88,"[ 0.01097726  0.00035109 -0.02335625 ... -0.00273632 -0.00177874
  0.00209661]",jackhammer
89,[0.03602408 0.05545341 0.05546793 ... 0.01682631 0.01763679 0.00928623],siren
90,"[-0.00986718 -0.0155044  -0.01339516 ... -0.01265319 -0.01263245
 -0.01393454]",car_horn
91,"[ 0.03179905 -0.0168119  -0.10167053 ...  0.00274025  0.0131232
 -0.02224838]",dog_bark
92,"[-9.0516145e-10 -3.4303276e-09  2.9147569e-09 ...  1.0922597e-02
  1.1539911e-02  1.5218209e-02]",siren
93,"[-0.0268995  -0.04722479 -0.02863059 ... -0.09239129 -0.05699498
 -0.08413054]",engine_idling
94,"[-0.00760158 -0.01205356 -0.01104568 ...  0.00992684  0.0083319
  0.00786963]",engine_idling
95,[0.01578508 0.03790577 0.038436   ... 0.01201181 0.00859328 0.0172987 ],street_music
96,"[-0.00102301 -0.00107633 -0.00054132 ... -0.01085566 -0.0104496
 -0.00212243]",street_music
97,"[ 0.04772484  0.09153953  0.06522261 ... -0.01693949 -0.05612779
 -0.05751792]",engine_idling
98,[0.01137308 0.01716483 0.01137652 ... 0.01464336 0.01662298 0.0205566 ],car_horn
99,"[-0.08463848 -0.10335287 -0.11836848 ...  0.03247391  0.00079871
  0.02523796]",dog_bark
100,[0.02325643 0.04325078 0.05110001 ... 0.03695609 0.03466555 0.03861781],dog_bark
101,"[-0.00331267 -0.00515297 -0.00416069 ... -0.02808495 -0.02408421
 -0.02258172]",drilling
102,"[ 0.02072609  0.00751164 -0.01902282 ... -0.02898982  0.01415589
 -0.02009225]",jackhammer
103,"[-2.9802322e-08 -1.4156103e-07  2.2351742e-08 ...  4.2871116e-03
  3.1302208e-03  2.1860076e-03]",siren
104,[0.31422177 0.4211809  0.3447072  ... 0.2681523  0.24968846 0.26345932],air_conditioner
105,"[-0.00103878 -0.00471883  0.00011093 ...  0.00391363 -0.00059838
 -0.00320935]",car_horn
106,"[ 0.03357292  0.04437302  0.00747006 ... -0.00400334 -0.00348658
  0.00525922]",children_playing
107,"[-1.5772879e-05  5.2932650e-04  9.9616498e-04 ... -3.9790393e-13
  1.9895197e-13 -1.7763568e-14]",children_playing
108,"[-0.03431827 -0.04077736 -0.03443918 ...  0.04714864  0.0402428
  0.04072579]",air_conditioner
109,"[ 0.00377469  0.01434365  0.02070691 ... -0.01444215 -0.02267815
  0.01369919]",children_playing
110,"[ 0.00144175  0.00172319  0.00085848 ... -0.00334668 -0.00736269
 -0.00106208]",drilling
111,[0.00418522 0.00300755 0.00096571 ... 0.00639412 0.01297754 0.01058953],street_music
112,"[-0.00239057  0.00097351  0.01087842 ...  0.03787283  0.03084802
  0.03301081]",air_conditioner
113,[0.01771566 0.01726034 0.02814415 ... 0.05165986 0.02462995 0.06057753],air_conditioner
114,"[-0.00753889 -0.02664387  0.03542468 ...  0.00692323  0.06191739
  0.10388358]",jackhammer
115,"[-0.01634054 -0.03150032 -0.02689458 ... -0.00065611 -0.01071776
 -0.01853058]",siren
116,"[-0.02157086 -0.016578   -0.00734324 ... -0.03113592 -0.02928012
 -0.02008171]",drilling
117,"[-0.02224361 -0.03570215 -0.03409373 ...  0.          0.
  0.        ]",engine_idling
118,"[-0.03078285  0.01956311  0.09035133 ... -0.05464527 -0.07374036
 -0.07639178]",air_conditioner
119,"[-0.13071157 -0.24264218 -0.17637695 ... -0.00457029 -0.04224235
 -0.03914592]",siren
120,"[-0.01920782  0.12658416  0.16609102 ... -0.03568801  0.0239825
  0.02212105]",car_horn
121,"[ 0.00700794 -0.00651253 -0.03305123 ... -0.06274536 -0.06897775
 -0.06580967]",jackhammer
122,"[ 0.03249431  0.07196793  0.08992538 ... -0.27237236 -0.29389107
 -0.3442617 ]",air_conditioner
123,"[ 0.01587077  0.02171886  0.03015767 ... -0.08105667 -0.07683615
 -0.06880864]",siren
124,"[ 0.01599091  0.04623859  0.043242   ...  0.04899295  0.01413236
 -0.04435948]",children_playing
125,"[ 0.00121378  0.00148837  0.00059272 ... -0.00670707  0.07607295
  0.10182699]",gun_shot
126,"[-0.0400664   0.03330401  0.03599555 ...  0.09090276 -0.02892592
  0.06473525]",engine_idling
127,[0.00792859 0.0110892  0.00693549 ... 0.0769248  0.07358523 0.07964589],jackhammer
128,"[7.1197166e-05 7.7027798e-05 7.3437957e-05 ... 5.8014302e-05 7.2392308e-05
 7.5565855e-05]",gun_shot
129,"[-0.06265127 -0.17463493 -0.18602797 ... -0.05328801 -0.00932912
 -0.00601077]",jackhammer
130,"[ 0.00122042 -0.00092641 -0.00423296 ... -0.00348478  0.00412984
  0.0078042 ]",jackhammer
131,"[-0.0478327  -0.05549929  0.00942266 ...  0.06164202  0.00480966
 -0.06642733]",gun_shot
132,"[-0.0042882  -0.00997644 -0.01006938 ...  0.06566083  0.04480869
  0.0286014 ]",air_conditioner
133,"[-0.00879279 -0.01586866 -0.00772884 ... -0.00177838 -0.00170519
 -0.00183658]",street_music
134,"[-0.00194382 -0.00438474 -0.00467018 ...  0.02591816  0.02308954
  0.02680237]",car_horn
135,[0.00303811 0.0048496  0.00466579 ... 0.00025623 0.00036372 0.0003432 ],street_music
136,"[ 0.0039294   0.00593906 -0.01806894 ... -0.01186635 -0.01233424
 -0.00879416]",street_music
137,"[-0.03150132 -0.03973436 -0.02044358 ... -0.18097976 -0.16566095
 -0.15670303]",drilling
138,[0.03691266 0.05998404 0.05513358 ... 0.09626696 0.09682018 0.11221877],drilling
139,"[-0.01010753 -0.01587299 -0.01391434 ... -0.01185372 -0.01180174
 -0.01187539]",engine_idling
140,[0.04201295 0.07609893 0.01642558 ... 0.31185    0.14945517 0.04710848],dog_bark
141,[0.00076165 0.00112828 0.00107764 ... 0.00023256 0.00030785 0.00033634],car_horn
142,"[ 0.04616917  0.0567979   0.03612557 ... -0.10698491 -0.105901
 -0.10278749]",drilling
143,"[-0.00107189 -0.00112293 -0.00052041 ... -0.00759593 -0.0101275
 -0.0088575 ]",dog_bark
144,[0.03451122 0.02770467 0.01202335 ... 0.01271129 0.01131759 0.01520743],dog_bark
145,"[-0.0417479  -0.06141059 -0.05236642 ...  0.01241081  0.01144026
  0.01101921]",jackhammer
146,"[ 0.00087668  0.0017223   0.00201134 ... -0.00050924 -0.00041591
 -0.00042288]",jackhammer
147,[0.00368193 0.00334609 0.00190789 ... 0.02367475 0.02214711 0.02471819],street_music
148,"[-0.03928903 -0.05525916 -0.06056448 ...  0.02308093  0.02366448
  0.01031321]",gun_shot
149,"[-0.23585753 -0.2221314   0.05888497 ... -0.11365184 -0.03692949
  0.05552985]",engine_idling
150,"[1.3969839e-09 1.9790605e-09 9.3132257e-10 ... 4.6405471e-03 4.1162763e-03
 4.4868817e-03]",jackhammer
151,"[-0.08215594 -0.08799878 -0.05141596 ...  0.10312263  0.05707335
  0.09214055]",dog_bark
152,"[-0.00732991 -0.01015505 -0.00824852 ...  0.00095454  0.0013145
  0.00130808]",engine_idling
153,"[-0.04890389 -0.05786553 -0.01952636 ... -0.02851161  0.01046153
  0.09445913]",jackhammer
154,"[-0.00020467  0.04519835 -0.01030505 ... -0.08804882 -0.06554778
 -0.08635715]",engine_idling
155,"[-0.05267997 -0.09936716 -0.10956994 ...  0.04904053  0.02186194
  0.00851239]",jackhammer
156,[0.02157226 0.03668664 0.03966508 ... 0.02755518 0.02271901 0.01383392],jackhammer
157,"[-0.01514697 -0.03027185 -0.03438083 ... -0.07837055 -0.06854413
 -0.03575121]",drilling
158,"[ 0.00508356  0.11004096 -0.09072308 ... -0.00336186  0.02141425
  0.04038922]",dog_bark
159,"[-6.2382722e-05 -2.5871268e-06  2.4497247e-04 ...  2.2158003e-04
  1.3603433e-04  1.7777854e-04]",engine_idling
160,"[ 0.00745533  0.00208165 -0.00682359 ...  0.03409728  0.02608812
  0.00782003]",car_horn
161,"[ 0.00844477  0.01295414  0.01363325 ... -0.00934237 -0.01086303
 -0.00800634]",siren
162,[0.03721667 0.09108935 0.1287623  ... 0.07315646 0.05725566 0.04636822],jackhammer
163,"[-0.01636994 -0.02508547 -0.03313932 ...  0.02357459  0.04306779
  0.02862738]",gun_shot
164,"[ 0.07467604  0.13269949  0.11600022 ... -0.1173274  -0.11223167
 -0.1285784 ]",air_conditioner
165,"[ 0.01743417  0.02553187  0.03254407 ... -0.02698334 -0.02795328
 -0.04328294]",car_horn
166,[0.02865659 0.04072857 0.03455094 ... 0.01874558 0.01533986 0.01368177],gun_shot
167,"[ 1.8253922e-07  1.7322600e-07 -5.8300793e-07 ... -2.4770256e-03
  1.0083346e-02  1.4080138e-02]",drilling
168,"[ 0.00230831  0.00308538  0.00242914 ... -0.00203417 -0.00268812
 -0.00316171]",jackhammer
169,"[-0.0008419  -0.0010236  -0.00044025 ... -0.00491236 -0.00423119
 -0.00490181]",engine_idling
170,"[-0.00047541 -0.00959903 -0.00075481 ... -0.01248696  0.02093227
  0.04049677]",street_music
171,"[-1.8626451e-09  9.3132257e-10 -2.7939677e-09 ... -2.8177233e-02
 -3.9498173e-02 -1.3490322e-02]",drilling
172,"[ 2.2351742e-08  2.9802322e-08  3.1664968e-08 ...  3.2397264e-01
  1.1056736e-01 -5.3110430e-03]",drilling
173,"[ 0.4245803   0.64744675  0.40481335 ... -0.08674324 -0.01554664
  0.02721283]",air_conditioner
174,"[-0.00778511 -0.01447845 -0.01145996 ... -0.01151084 -0.00860648
 -0.0155927 ]",street_music
175,"[ 0.00567819  0.01439527  0.01960477 ... -0.04245412 -0.03852417
 -0.03757846]",dog_bark
176,"[ 0.01230811 -0.02418742 -0.01355667 ...  0.00610127  0.02445875
  0.02131577]",drilling
177,"[-0.00110702 -0.00174321 -0.00173759 ... -0.00215835 -0.00281819
 -0.00408732]",drilling
178,[0.02146135 0.03309239 0.01852869 ... 0.12395963 0.12538116 0.13671842],siren
179,"[ 0.0251115   0.03624496  0.03093454 ... -0.00401558 -0.00554121
 -0.00359953]",street_music
180,"[-0.00026471 -0.0004129  -0.00036035 ... -0.00030775 -0.0002991
 -0.00033656]",jackhammer
181,"[ 0.01144382  0.02362474  0.02828465 ... -0.00391995 -0.00416996
 -0.00688509]",gun_shot
182,[0.09290625 0.12885612 0.11402652 ... 0.01418722 0.0097868  0.00855705],children_playing
183,"[ 0.0170222   0.02518971 -0.00868162 ... -0.00371562 -0.01003597
 -0.00302477]",street_music
184,"[ 0.05910239  0.04647241 -0.02115159 ... -0.0069612   0.03259259
  0.09148588]",jackhammer
185,"[ 0.04137082  0.10201983  0.13148835 ...  0.19782335  0.10703342
 -0.01974332]",jackhammer
186,"[ 0.02070982  0.00070021 -0.02158077 ... -0.01697998 -0.00570263
  0.00393004]",drilling
187,"[-0.00451378  0.00091574  0.00819091 ...  0.11621541  0.115803
  0.14476478]",dog_bark
188,"[ 0.03741708  0.05488712  0.03856545 ... -0.01274974 -0.01187418
 -0.0027975 ]",engine_idling
189,"[-0.09172109 -0.11578297 -0.10398137 ...  0.00040427  0.00553779
 -0.0033402 ]",car_horn
190,"[-2.3283064e-10 -1.1641532e-09  1.1641532e-10 ... -3.0736714e-03
 -3.3391912e-03 -2.2674659e-03]",jackhammer
191,[0.01823957 0.02277836 0.01820636 ... 0.00650937 0.03872068 0.04793155],siren
192,"[ 0.00663248 -0.01207101  0.00336107 ... -0.03372528 -0.01628367
 -0.00906894]",children_playing
193,"[ 3.0397910e-06  1.4029683e-05  6.2884692e-06 ... -1.0044248e-03
 -1.0907309e-03  0.0000000e+00]",street_music
194,"[-0.00686004 -0.00450117  0.00436877 ... -0.03270485 -0.02722401
 -0.02179113]",car_horn
195,"[ 0.11182789  0.11897755  0.11208119 ...  0.00073052 -0.0005552
 -0.00228904]",drilling
196,"[ 0.03270583  0.05398282  0.06091995 ... -0.00034326 -0.01879668
 -0.0111169 ]",gun_shot
197,"[ 0.00048345 -0.00322828  0.00055284 ...  0.05446293  0.05295116
  0.06162954]",dog_bark
198,[0.01071254 0.01666082 0.01261999 ... 0.03174219 0.02249376 0.00791406],children_playing
199,"[-0.04714522  0.01239406 -0.04688159 ...  0.03456743  0.02193546
 -0.03188919]",drilling
200,[0.00170865 0.00439146 0.00298074 ... 0.02987325 0.0376334  0.05121456],siren
201,"[-0.00677285 -0.00542495 -0.0001523  ...  0.01630744  0.01706857
  0.02158224]",air_conditioner
202,"[ 0.00611883  0.00936394  0.00768952 ... -0.00947084 -0.01126286
 -0.01358191]",children_playing
203,[0.05954755 0.08788074 0.07848355 ... 0.0996872  0.09599701 0.10415308],air_conditioner
204,"[-0.00186246 -0.02699595 -0.02727369 ... -0.00811667  0.00091237
  0.02124717]",gun_shot
205,"[-0.03299283 -0.06970846 -0.06055361 ... -0.01367369 -0.01346827
 -0.00210586]",car_horn
206,"[-0.00184787 -0.00323005 -0.00258834 ... -0.00484099 -0.00181422
 -0.0040393 ]",engine_idling
207,"[-0.00617559 -0.01146781 -0.01192042 ... -0.06764934  0.01540399
  0.13583395]",engine_idling
208,"[-0.04808056 -0.06778093 -0.05668297 ... -0.07116814 -0.06726615
 -0.06359206]",siren
209,"[ 0.01172982 -0.02893284 -0.03405245 ... -0.0085542   0.02758094
  0.        ]",air_conditioner
210,"[ 0.01770906  0.03463211  0.03373796 ... -0.01185368 -0.00645517
 -0.00446168]",gun_shot
211,"[ 0.00711168  0.00088407 -0.02513783 ...  0.18844923  0.1695342
  0.15875866]",siren
212,"[ 0.00881589  0.00444798  0.02023615 ... -0.1080914  -0.11784458
 -0.14824037]",air_conditioner
213,"[-0.00964264 -0.01212243 -0.00314951 ... -0.00831232 -0.00703635
 -0.00594786]",air_conditioner
214,"[ 0.00025772  0.00019741 -0.00013019 ...  0.01219956  0.02818565
  0.04851932]",drilling
215,[0.13970909 0.17587155 0.02995311 ... 0.15080225 0.10464135 0.15777987],street_music
216,"[-0.16061065 -0.23246813 -0.14625673 ... -0.24921183 -0.23237327
 -0.2175488 ]",jackhammer
217,"[-0.01061163 -0.02074527 -0.02328958 ...  0.01403305  0.01213414
  0.01363377]",air_conditioner
218,"[-0.07619356 -0.12680253 -0.12404159 ... -0.00584688 -0.038708
 -0.01174531]",street_music
219,[0.0113684  0.01761987 0.01351101 ... 0.02493301 0.0256982  0.00953704],car_horn
220,"[-0.01027022 -0.00035078  0.00621229 ... -0.03215974 -0.06615216
 -0.0315031 ]",street_music
221,"[-2.3283064e-09 -4.6566129e-09 -4.6566129e-09 ... -1.2892280e-03
 -4.1986462e-03 -4.5473105e-03]",drilling
222,"[-0.00575354 -0.00652802 -0.00481332 ... -0.02428834 -0.02183239
 -0.02308283]",siren
223,"[-0.09416257 -0.13528943 -0.11376372 ...  0.02778847  0.02997208
  0.01141294]",car_horn
224,"[ 0.04681951  0.05427819  0.03304105 ... -0.00828663 -0.00769434
 -0.00731282]",street_music
225,[0.01039638 0.00516869 0.01411042 ... 0.00768952 0.03583201 0.02848181],car_horn
226,"[ 0.07073613  0.09882258  0.04852572 ... -0.14051522 -0.12590379
 -0.0867099 ]",jackhammer
227,"[ 0.01535455  0.03463496  0.01886849 ... -0.01718486 -0.0116309
  0.00695365]",gun_shot
228,"[-0.09764668 -0.05338447  0.03485572 ... -0.01148791 -0.01135463
 -0.00705004]",drilling
229,"[ 0.01053383 -0.00344328 -0.03433343 ...  0.07140025  0.06670868
  0.06950633]",jackhammer
230,"[ 0.00282326  0.00576513  0.00576054 ... -0.03751635 -0.04744539
 -0.05175064]",children_playing
231,"[-0.01953056 -0.01277824 -0.00458928 ... -0.02575287 -0.04215987
 -0.02253167]",children_playing
232,"[-0.02488076 -0.01869491 -0.02516171 ... -0.04593276 -0.05025934
 -0.05704918]",engine_idling
233,"[ 4.5821944e-06 -7.8441808e-06  3.2775861e-06 ... -1.6451900e-01
 -1.2566398e-01 -1.5003666e-01]",drilling
234,"[ 0.06977552  0.10200047  0.08698193 ... -0.0107024  -0.00790518
 -0.00365926]",gun_shot
235,[0.01367406 0.01881603 0.01643143 ... 0.0052478  0.00756049 0.0052536 ],engine_idling
236,"[-0.00402333 -0.00690997 -0.00783321 ... -0.03104287 -0.0318073
 -0.03109189]",gun_shot
237,[0.0410453  0.06255336 0.05621435 ... 0.00514903 0.0045043  0.00443479],gun_shot
238,"[ 0.07148484 -0.06157801  0.24364755 ... -0.00334766  0.00362969
  0.0080348 ]",dog_bark
239,[0.38018477 0.53635883 0.38591203 ... 0.23786017 0.18719666 0.12373415],air_conditioner
240,"[-0.00590919 -0.01372795 -0.01490725 ...  0.01950505 -0.01187012
 -0.00565648]",car_horn
241,"[ 1.6633328e-04  1.8375320e-04 -7.6667755e-05 ... -5.3160237e-03
 -6.3362792e-03 -7.2925929e-03]",engine_idling
242,"[ 0.02103189  0.02434853  0.00843332 ... -0.000763   -0.00096614
 -0.0011284 ]",gun_shot
243,"[2.8863251e-03 2.8742924e-03 1.0124706e-03 ... 1.7638474e-04 2.5548210e-04
 8.8467597e-05]",dog_bark
244,"[-0.0367886  -0.04321239 -0.08030298 ... -0.05264275  0.12428552
  0.13529241]",car_horn
245,"[-0.05352353 -0.07919992 -0.05384261 ...  0.0238885   0.02291826
  0.00776929]",car_horn
246,"[ 0.01600281  0.02337316  0.01848111 ... -0.01011294 -0.01088344
 -0.01352303]",drilling
247,[0.03819625 0.05820983 0.05876129 ... 0.12053653 0.10043442 0.08564684],air_conditioner
248,"[-0.03255168 -0.04907879 -0.04184806 ... -0.01857352 -0.01774296
 -0.01815272]",air_conditioner
249,"[-0.05912834 -0.05164257 -0.00648113 ... -0.06016801 -0.04864798
 -0.04942655]",engine_idling
250,"[ 0.02429003  0.17469579  0.1961571  ... -0.03146074 -0.01438395
 -0.00759035]",street_music
251,"[-0.00325067 -0.00534084 -0.00575953 ...  0.18872413  0.16040301
  0.05493122]",gun_shot
252,"[-0.26511618 -0.4112913  -0.39435503 ...  0.08292463  0.08300836
  0.16972792]",street_music
253,"[-0.10027307 -0.15092005 -0.10063028 ... -0.22391178 -0.25616843
  0.        ]",engine_idling
254,"[ 0.38497517  0.5673827   0.50770116 ... -0.41958117 -0.39547452
 -0.40405142]",drilling
255,"[ 0.00325103  0.01246246 -0.05243036 ...  0.05063064  0.02104932
 -0.01062925]",gun_shot
